n4665450,雪笠、公鸣：信仰恒久 经年愈坚
n12991772,王友群：毛泽东的接班人刘少奇之死
n12998426,中共罪行录之二十二：少年“反革命”
n12997401,王友群：毛泽东的接班人林彪之死
n13002345,韩战时美国排华风暴 纽约华人曾如何应付危局
n13002424,高僧：你办案时心里真有国法吗？
n13003575,张菁：中共“长征”中的绑票筹款亲历者
n13004467,李勇：历史秘闻——张学良自评历史功过
n13009729,中共罪行录之二十三：三年级的“地主分子”
n13011888,【中共党史】建党的罪恶本质：苏联豢养
n13012901,【名家专栏】人口炸弹突然成了人口泡沫
n13015342,中共罪行录之二十四：被冤杀的“伪乡长”
n13001609,被遗忘的百年历史（V）2001至2005
n13016395,王友群：延安的1万5千个特务是怎么回事？
n13018945,中共罪行录之二十五：87种害人招式
n13020167,【中共党史】中共配合苏联侵略中国（上）
n13020296,叶书：中共 “红船精神”真相 谎话连篇的党史
n13020354,苏共出钱出枪换取孙中山接纳中共“借壳上市”
n13020585,张菁：长征是溃败逃亡还是北上抗日？
n13020689,中共罪行录之二十六：“文革”整人四大招
n13023054,中共罪行录之二十七：为句真话劳改15年
n13022783,中东路事件：中共配合苏联侵略中国（下）
n13001669,被遗忘的百年历史（VI）2001至2021
n13030146,首位文革杀人犯的忏悔：革命逆天、人命关天
n13030600,中共罪行录之二十八：切菜切出反革命
n13030262,【中共党史】中共配合苏联肢解中国（上）
n13031965,林辉：行刑时绞刑台上热搜 李大钊叛国罪难掩
n13032288,王友群：毛泽东的接班人王洪文之死
n13033620,共产党的发展壮大与国民党内右派的反击（一）
n13033754,叶书：邓拓愚忠的遗言与江青“免责”辩护词
n13034811,叶书：中共百年“党罄” 高官叛逃吹响末日前奏
n13034638,再现历史中的浮士德故事
n13033683,共产党的发展壮大与国民党内右派的反击（二）
n13035660,【中共党史】中共配合苏联肢解中国（下）
n13035206,林辉：中共三名高官叛逃带来的重创
n13036513,中共罪行录之二十九：没头的尸体一大片
n13036965,美国国父的教导：从历史中吸取无穷智慧
n13038692,中共罪行录之三十：访民刘耀明之死
n13039529,周晓辉： 国企改革毁掉东北 肥了中共权贵集团
n13040700,【中共党史】配合苏联肢解中国 分裂新疆
n13043864,湖南的农民运动——共产党农村土改运动的预演
n13044327,中共罪行录之三十一：邓星杞一家之死
n13046662,中共罪行录之三十二：一句话右派
n13001762,被遗忘的百年历史（VII） 1949至2020
n13049849,周恩来下令杀顾顺章家十多人是怎么回事？
n13049996,杨箭：百年中共的百年罪恶
n13050025,共产党在中国城市发动“反帝”革命运动（上）
n13050342,中共罪行录之三十三：钦州剖腹食肝风
n13052583,颜智华：共产主义是国际恐怖主义
n13051791,【百年透视】中共暴政的杀人历史
n13056050,【中共党史】苏联扶共侵华阴谋的大揭发
n13057253,【百年透视】中共摧毁传统文化与道德
n13014567,【百年透视】中共是全世界最大的卖国党
n13058998,【中共党史】中共武装割据中的苏联军援
n13059947,袁斌：中共是全世界杀人最多的刽子手党
n13048188,被遗忘的百年历史（VIII）1949至2020
n13062650,袁斌：中共是全世界最爱撒谎的骗子党
n13062711,【网海拾贝】中共的本质是两面派的骗子
n13064563,【百年透视】教科书里谎言知多少？
n13064758,袁斌：中共是全世界最野蛮霸道的强盗党
n13064830,【百年透视】剖析中共洗脑术
n13065827,【百年透视】中共为祸百年的深层原因
n13065845,【百年透视】抗击中共为何成为国际潮流？
n13065420,韩亦言：中国共产党的初心是什么？
n13067282,王友群：出席中共一大的15人的最后结局
n13068366,袁斌：中共是全世界最残暴无道的独裁党
n13076119,共产党在中国城市发动“反帝”革命运动（下）
n13074576,【中共党史】中共武装割据中的“红色基因”
n13078336,颜智华：国共合作以共产党惨败收场（1）
n13048246,被遗忘的百年历史（Ⅸ）1919 至2021
n13079964,颜智华：国共合作以共产党惨败收场（2）
n13080359,袁斌：中共是全世界奉送领土最多的卖国党
n13081595,颜智华：国共合作以共产党惨败收场（3）
n13082967,颜智华：国共合作以共产党惨败收场（4）
n13084645,王友群：北京大学教授王重民文革中悬梁自尽
n13087993,中共罪行录之三十四：大饥荒时代的悲惨故事
n13093007,中共罪行录之三十五：乡村大游斗     
n13093178,颜智华：落草为寇的朱毛为何能立足并壮大（1）
n13095103,颜智华：落草为寇的朱毛武装为什么能立足并壮大（2）
n13095149,中共罪行录之三十六：西藏的文革惨剧
n13096576,中共罪行录之三十七：卫生纸之祸
n13096652,颜智华：共产党在苏区的烧杀抢反人类犯罪（1）
n13099553,中共罪行录之三十八：现代“窦娥冤”
n13101108,颜智华：共产党在苏区的烧杀抢反人类犯罪（2）
n13101149,中共罪行录之三十九：一声口哨一条命
n13099858,王友群：第一个挨整的中共元帅刘伯承
n13103760,中共罪行录之四十：滴血的手指头
n13103846,颜智华：中原大战结束 为何共产党还能在赣南闽西折腾4年
n13107819,中共罪行录之四十一：剃光头也有罪
n13109642,颜智华：“剿共战争”成派系斗争筹码 红军逃生作乱  
n13109759,苏晓康：垮坝
n13111808,王友琴：文革猛于虎——记文革受难者张为申和谢瑞瑾
n13113015,中共罪行录之四十二：语录对错招来祸
n13112821,王友群：被整得最惨的中共元帅彭德怀
n13115989,中共罪行录之四十三：名字惹的祸
n13128622,王友群：林彪之子林立果痛斥毛泽东为暴君
n13129563,【名家专栏】《西游记》教我们认清中共欺骗
n13130302,中共罪行录之四十四：“红色恐怖万岁”
n13132408,中共罪行录之四十五：“阴阳头”和“喷气式”
n13148878,金言：古代童谣何以预示王朝的灭亡？
n13149032,观雨堂主：中共对美国的仇恨永远不会放弃
n13150966,王友群：北京大学一级教授向达文革被迫害致死
n13159737,袁斌：罗素对“俄国革命”的洞见
n13161711,王友群：因毛泽东一句话 部长张霖之文革被打死
n13172779,中共罪行录之四十六：红歌作者的悲惨结果
n13175568,中共罪行录之四十七：被割喉的张志新们
n13177975,中共罪行录之四十八：死囚家属学习班
n13177158,王友群：毛泽东发动大跃进 饿死四千万人
n13180822,观雨堂主：红色鹰犬的下场
n13181650,我们从小到大学到的历史哪些是假的（1）
n13186560,我们从小到大学到的历史哪些是假的（2）
n13186855,【名家专栏】不能加入私人俱乐部背后的怨恨
n13190519,百年大梦：2021 终点
n13193945,袁斌：我们从小到大学到的历史哪些是假的（3）
n13192762,百年红祸 中华“亡国”
n13198300,吴明：中共历届“克格勃”的命运（上）
n13200899,吴明：中共历届“克格勃”的命运（下）
n13204742,袁斌：我们从小到大学到的历史哪些是假的（4）
n13208826,林辉：真“双枪老太婆”抗日反共 中共混淆视听
n13196066,告别进化论
n13209835,袁斌：我们从小到大学到的历史哪些是假的（5）
n13210760,王友群：中共高级特工潘汉年被监禁至死之谜
n13216206,中共罪行录之四十九：川大最后一个“右派”
n13218798,中共罪行录之五十：同仁堂的故事
n13221126,袁斌：我们从小到大学到的历史哪些是假的（6）
n13196137,无神论——人类面临的最危险骗局
n13225932,中共罪行录之五十一：死于文革的著名作家
n13226435,金言：古代帝王降生有哪些异象？
n13227610,袁斌：我们从小到大学到的历史哪些是假的（7）
n13226398,【名家专栏】不太惬意的夏日时光
n13229461,中共罪行录之五十一：死于文革的著名艺术家
n13231576,王友群：1975年河南溃坝23万人死亡之谜
n13238181,袁斌：我们从小到大学到的历史哪些是假的（8）
n13238349,周傥：共产党统治下绝没有自由——记胡适和陈垣的一段历史公案
n13243175,袁斌：我们从小到大学到的历史哪些是假的（9）
n13244038,王友群：傅作义身边的中共间谍阎又文
n13244136,林辉：王洪文两个“没想到” 遭酷刑被关秦城
n13247326,中共罪行录之五十二：以革命的名义杀人
n13248164,林辉：江青文艺界三大走卒之悲剧人生
n13249512,中共罪行录之五十三：“文革”中被逼自杀的科学家
n13252177,袁斌：我们从小到大学到的历史哪些是假的（10）
n13257311,中共是怎么为自己涂脂抹粉的（1）
n13257369,【网海拾贝】港府以危害国安为名已拘捕153港人
n13260313,王友群：马寅初被批判 至少4.5亿胎儿被杀
n13279023,别被史诗大片忽悠 长津湖战役惨绝人寰的真相
n13279096,川人：长津湖之战 中国人究竟替谁在打仗？
n13279118,王友群：为何毛泽东点名粟裕是军中“坏人”？
n13281088,中共之无法 皆因其无天
n13281280,无神论统御的基督教王国
n13290123,中共罪行录之五十四：中国人失去的自由权利
n13291564,林辉：“李玉和”原型文革被从六楼扔下摔死
n13291790,王友群：中国的功臣 中共的囚徒
n13281397,中国佛教史上最大法难——中共毁灭佛教
n13281463,道教遭中共异化迫害
n13305095,重提大陆与台湾互致公开信的那段历史
n13307502,王友群：王实味被中共枪毙之谜
n13281535,无神论者向神的宣战
n13324909,王友群：毛泽东制造的“胡风反革命集团案”
n13324062,中共罪行录之五十五：“文革”的恶果
n13346037,王友群：从“华东王”到“野心家”的饶漱石
n13346372,重返1949国殇日
n13355675,中共罪行录之五十六：地质学泰斗的不堪晚年
n13357123,王友群：“云南王”谭甫仁被暗杀之谜
n13346437,以中山之名 行共产之实
n13343329,李清：我舅舅逃离大陆
n13367727,李清：陶希圣之女 留在了大陆
n13373282,中共罪行录之五十七：文革毁坏的名胜古迹
n13374142,惠虎宇：中共掠夺财富之恶
n13377522,李清：倪匡逃港后 成“香港四大才子”之一
n13388697,中共百年 是造福人民还是祸害人民（上）
n13389389,中共百年 是造福人民还是祸害人民（下）
n13390605,中共罪行录之五十九：文革中的“栏杆市事件”
n13395097,我们从小到大学到的历史哪些是假的（11）
n13401007,第三次分配 中产阶级受重击
n13402501,【名家专栏】为什么而感恩 林肯总统如是说
n13391411,李清：京剧大师周信芳和他的一家人
n13405477,中共是怎么为自己涂脂抹粉的（5）
n13412021,中共是怎么为自己涂脂抹粉的（6）
n13412316,李清：《海瑞罢官》与京剧大师马连良之死
n13423954,中共罪行录之六十：胡风案审讯员的回忆
n13426672,中共罪行录之六十一：后发的“文革”恶果
n13430555,王友群：中华奇女子钟海源被枪杀之谜
n13430849,中共罪行录之六十一：毛泽东的行宫多过帝王
n13431085,中共是怎么为自己涂脂抹粉的（7）
n13426884,李清：屠呦呦的青蒿素和知青的金鸡纳霜
n13432247,中共是怎么为自己涂脂抹粉的（8）
n13423132,两个中国：人类文明的双蓝图（下）
n13435894,中共罪恶录之六十二：残酷无情的“政审”
n13443384,中共罪恶录之六十三：克拉玛依大火
n13444722,王友群：中共左祸横行时仍坚持独立思考的顾准
n13437270,楚一丁：与中山之路背道而驰的中共强权之路
n13459280,李清：失聪人和小提琴的情结
n13463003,王友群：曾庆红亲信苏荣把家变“权钱交易所”
n13463833,中共对世界的腐蚀与伤害
n13476849,彩虹护守的土地 为什么世界不能失去台湾
n13471478,李清：我们都是喝狼奶长大的
n13479197,麦克阿瑟的韩战及台湾预言
n13493098,王友群：毛泽东的“御用文人”王力被打倒之谜
n13495439,张菁： 蒋介石“驸马”陆久之效命中共被打成反革命
n13494094,永不停止的谎言与暴力 从“长津湖战役”说起
n13497991,蔡慎坤：生命就像一盒巧克力，结果往往出人意料
n13508154,有52年党龄的著名作家聂绀弩对中共的醒悟
n13506846,【名家专栏】保护动物比保护儿童更重要吗？
n13512932,中共罪恶录之六十四：讲真话送命的大美学家
n13517785,中共罪行录之六十五：“一场血的洗礼”
n13516675,【有冇搞错】中国群体免疫至少要一万年
n13523034,惠虎宇：台湾自古以来是中国的一部分吗？
n13523254,清竹：是谁让“起死回生”这一名词流传至今？
n13523077,王友群：金融“大老虎”胡怀邦“案中案”
n13527941,中共罪行录之六十六：中共副主席王洪文的奢靡
n13534128,张菁：红色间谍兄弟五人之悲剧人生
n13531468,楚一丁：台海两岸的昨日今日和明日
n13544416,中共罪行录之六十七：文革是如何大乱起来的
n13546448,中共罪行录之六十八：取消过年
n13531530,蔡大雅：台湾 为世界点上光明之灯
n13548579,中共罪行录之六十九：拜年歌作者之死
n13554515,中共罪行录之七十：上海“红色恐怖”一日
n13555827,林辉：薄一波自言国民党监狱比中共的强
n13556189,王友群：黄炎培投奔中共 家人惨遭中共迫害
n13559130,王友琴：刘华失去右胳膊—北京大学的父子两代悲情
n13531538,李天韵：“武统台湾” 中共必亡
n13566468,夏祷：红色木马入城记
n13570011,李清：武训家乡骇人听闻的《百日无孩》运动
n13575380,中共罪行录之七十一：胡适幼子之死
n13574800,王友群：中共间谍金无怠潜伏美国三十多年
n13583779,中共罪行录之七十一：郭沫若儿子的死
n13581506,【名家专栏】对卵子“捐赠”说不
n13586930,中共罪行录之七十二：经济学家的饥饿记忆
n13589079,李清：建国门枪击案背后鲜为人知的故事
n13592541,王友群：毛泽东授意打倒的“胡风分子”阿垅
n13598550,中共罪行录之七十三：五花八门的“右派”罪名
n13604693,张海霞：唐代的宗教自由到共产党的宗教迫害
n13606004,王友群：中共政治体制改革被终结之谜
n13607119,被遗忘的礼仪艺术：蕴含神性智慧的正确行为
n13609187,张菁：红色特工李时雨的风雨人生
n13611808,李天韵：国际共产党地下队伍
n13615970,中共是怎么为自己涂脂抹粉的（10）
n13619491,我们从小到大学到的历史哪些是假的（12）
n13623863,我们从小到大学到的历史哪些是假的（13）
n13624644,林辉： 中共优待洗脑日俘 内战中日军贡献大
n13624529,王友群：中共两次免于苏共核打击之谜
n13629055,张菁：批《武训传》 有江青与陶行知的个人恩怨
n13630207,我们从小到大学到的历史哪些是假的（14）
n13632791,我们从小到大学到的历史哪些是假的（15）
n13643934,王友群：中共表面胜利实际失败的一场战争
n13655741,中共罪行录之七十四：“彭德怀反党集团”
n13660401,王友群：中朝之间有鲜血凝成的友谊吗？
n13675049,中共援助阿尔巴尼亚最多 却成了阿的“敌人”
n13677266,李宇明：中南海“为人民服务”标语背后的故事
n13677405,观雨堂主：从“原子弹与茶叶蛋”谈起
n13679371,张菁：西安政变“功臣”刘鼎被中共整的很惨
n13688599,中共罪行录之七十五：叛徒、内奸、工贼刘少奇
n13692503,我们从小到大学到的历史哪些是假的（16）
